LABEL,DESCRIPTION,INTENT,SCOPE,TOPIC
Invisible small values,"Indicates that extremely small items may not be visible at the current scale, e.g., they cannot be seen at the current screen resolution or zoom level. ",Warning,Visual Encoding,
Overlapping elements,Indicates that visual elements may overlap in dense areas,Warning,Visual Encoding,
Colorblind-safe,Indicates that colors were chosen to remain distinguishable for colorblind viewers,Confirmation,Visual Encoding,"Accessibility, Color"
Printer-safe,Indicates that the design remains clear and readable when printed,Confirmation,Visual Encoding,Accessibility
Area encoding,Indicates that the size of visual elements is calculated as function of their value mapped to the area.,Information,Visual Encoding,
False friend,Indicates that a visualization may resemble a common visualization yet might require different interpretation,Warning,Visual Encoding,"Interpretation, Bias"
Null-values removed,Indicates that data points with null or infinite values have been excluded. ,Warning,Analysis,Constraints
Varying scales,"Indicates that multiple adjacent charts use different axis scales, complicating comparison across charts. ",Warning,Visual Encoding,Axes
Rainbow required,Indicates that a rainbow-like color gradient is required to show the specific data. ,Warning,Visual Encoding,Color
Redundant encodings,"Indicates that multiple visual channels (e.g., color + shape) convey the same attribute",Warning,Visual Encoding,Interpretation
Labels ommitted,Indicates that axis text is provided in accompanying descriptions rather than on the axis itself,Warning,Context,Axes
Composite index,Indicates that a combined metric synthesized from multiple factors is displayed,Information,Analysis,Aggregation
Qualitative categories,"Indicates that data is presented in categorical groupings (e.g., high, medium, low)",Information,Analysis,Transformation
Approximate times,Indicates that the timeframe shown is approximate,Information,Visual Encoding,Time
Estimated geographic boundaries,Indicates that geographic shapes or borders are inferred and not exact,Warning,Visual Encoding,Maps
Uneven time intervals,Indicates that the spacing between time points is inconsistent,Warning,Visual Encoding,Time
Known data gap,Indicates that a recognized period or portion of missing records exists,Warning,Data,"Uncertainty, Constraints"
3D,Indicates that the chart visualizes three-dimensional or volume-based measurements. The chart may contain occlusion.,Information,Data,Source
Experts involved,Indicates that domain experts provided insights or guided the design and analysis,Confirmation,Context,Attribution
AI-generate visualization,"Indicates that the chart was produced using generative AI tools (e.g., GPT, DALL-E)",Warning,Context,AI
AI-generated data,Indicates that part or all of the dataset was created by an AI model,Warning,Data,"AI, Uncertainty"
AI-assisted analysis,"Indicates that AI methods (e.g., clustering, pattern recognition) assisted in data analysis.",Warning,Analysis,AI
AI-generated captions,Indicates that descriptive text or annotations were produced by an AI system,Warning,Context,"AI, Interpretation"
AI-derived insight,Indicates that key insights or interpretations rely on AI-based evaluations,Warning,Analysis,AI
Human-verified AI,Indicates that humans verified results generated by an AI,Confirmation,Analysis,"Attribution, Bias"
Possible AI bias,Indicates that the visualization may reflect distortions introduced by AI systems,Warning,Analysis,"Bias, AI"
No AI involved,Confirms that no AI was used during the creation of this visualization,Confirmation,Context,"Attribution, Bias"
Secondary data,"Indicates that the dataset is itself derived from secondary or aggregated sources, rather than the original raw data",Information,Data,Source
Data off the map,Indicates that there are elements not shown in the current view. ,Warning,Visual Encoding,Maps
Semi-auto data processing,Indicate the data processing involves manual cleaning in addition to machine processing,Information,Analysis,Tools
Additional manual cleaning,Indicate the data processing is cross checked with manual cleaning,Information,Analysis,Tools
Irregular patterns,Indicate there are irregular patterns that do not lead to contextual findings.,Warning,Visual Encoding,Uncertainty
Interval breaks,"Indicates that an axis in the visualization has one or more breaks, i.e., unequal intervals",Warning,Visual Encoding,Interpretation
Positionless elements now shown,Indicates that this visualization does not or cannot show elements without a geographic position.,Warning,Visual Encoding,"Interpretation, Maps"
Simplified geographic boundaries,Indicates that geographic boundaries have been simplified to improve readability of this visualization. ,Warning,Visual Encoding,Maps
